Q,Description,MX-CPU(ms),MX-GPU(ms),Polars(ms),Pandas(ms),RAPIDS-cuDF(ms)
Q1,Filter+8Agg,12.1,81.9,37.9,130.2,N/A
Q2,Min Cost Supplier,7.2,31.7,19.2,9.2,N/A
Q3,3-Table Join+Agg,3.3,14.6,26.6,31.8,N/A
Q4,Order Priority,12.8,3.4,20.2,40.6,N/A
Q5,Multi-Join+GroupBy,0.7,6.0,33.0,85.4,N/A
Q6,Masked GlobalAgg,6.7,6.8,10.8,9.6,N/A
Q7,Shipping Volume,0.9,12.5,36.0,50.8,N/A
Q8,Market Share,1.2,N/A:JIT,25.0,22.1,N/A
Q9,Product Profit,1.0,8.6,48.7,51.5,N/A
Q10,Customer Revenue,1.6,12.7,34.7,19.2,N/A
Q11,Important Stock,0.5,2.2,10.1,2.8,N/A
Q12,2-Table Join+Agg,0.6,6.1,26.6,642.4,N/A
Q13,Customer Distrib,20.4,1.8,26.5,63.6,N/A
Q14,Promo Revenue,4.5,9.8,10.0,309.3,N/A
Q15,Top Supplier Rev,1.4,TIMEOUT,11.7,5.8,N/A
Q16,Part/Supplier Rel,2.8,8.6,20.5,7.2,N/A
Q17,Small Qty Order,0.4,TIMEOUT,10.3,5.9,N/A
Q18,Large Volume Cust,6.3,TIMEOUT,38.8,22.1,N/A
Q19,Discounted Revenue,10.4,14.3,22.8,43.7,N/A
Q20,Potential Part Promo,4.7,TIMEOUT,41.9,11.0,N/A
Q21,Suppliers Who Kept,27.1,6.6,30.2,28.3,N/A
Q22,Global Sales Oppty,7.2,14.3,24.7,64.0,N/A
